date,total charges
1/1/80,2229.116505
1/1/81,2598.752475
1/1/82,3188.704663
1/1/83,3296.213855
1/1/84,3016.27334
1/1/85,2916.953532
1/1/86,2904.758212
1/1/87,3108.771127
1/1/88,3109.313609
1/1/89,3119.095161
1/1/90,3296.052028
1/1/91,4320.38326
1/1/92,5135.529579
1/1/93,6105.058131
1/1/94,6565.949393
1/1/95,6428.48622
1/1/96,6284.845124
1/1/97,6211.715888
1/1/98,5862.318405
1/1/99,5545.258703
1/1/00,5448.773519
1/1/01,5157.680971
1/1/02,5640.538633
1/1/03,7113.86413
1/1/04,7909.21334
1/1/05,8243.898618
1/1/06,8044.982143
1/1/07,8583.086831
1/1/08,8824.853228
1/1/09,10920.2014
1/1/10,12240.89546
1/1/11,13872.57759
1/1/12,13608.18815
1/1/13,13431.96309
1/1/14,13317
